newsIDs,ratios,invisible_by_news,visible_by_news
851344,0.42857142857142855,30.0,70.0
804152,0.42857142857142855,3.0,7.0
864202,0.42857142857142855,3.0,7.0
821816,0.42857142857142855,3.0,7.0
801995,0.42857142857142855,3.0,7.0
809485,0.42857142857142855,3.0,7.0
883985,0.42857142857142855,3.0,7.0
857216,0.42857142857142855,3.0,7.0
820993,0.42857142857142855,3.0,7.0
820177,0.42857142857142855,9.0,21.0
859637,0.42857142857142855,3.0,7.0
907946,0.42857142857142855,3.0,7.0
852222,0.42857142857142855,3.0,7.0
814758,0.42857142857142855,6.0,14.0
884989,0.42857142857142855,3.0,7.0
858267,0.42857142857142855,15.0,35.0
800597,0.42857142857142855,3.0,7.0
801282,0.42857142857142855,3.0,7.0
895270,0.42857142857142855,3.0,7.0
823605,0.42857142857142855,6.0,14.0
822168,0.42857142857142855,3.0,7.0
881404,0.42857142857142855,3.0,7.0
811696,0.42857142857142855,3.0,7.0
908241,0.42857142857142855,3.0,7.0
895067,0.42857142857142855,6.0,14.0
896279,0.42857142857142855,3.0,7.0
891047,0.42857142857142855,3.0,7.0
888695,0.42857142857142855,3.0,7.0
811614,0.42857142857142855,3.0,7.0
859831,0.42857142857142855,3.0,7.0
885328,0.42857142857142855,3.0,7.0
896635,0.42857142857142855,3.0,7.0
817348,0.42857142857142855,3.0,7.0
907746,0.42857142857142855,3.0,7.0
906775,0.42857142857142855,3.0,7.0
815472,0.42857142857142855,36.0,84.0
936796,0.42857142857142855,3.0,7.0
935991,0.42857142857142855,3.0,7.0
895968,0.42857142857142855,3.0,7.0
839660,0.42857142857142855,6.0,14.0
847001,0.42857142857142855,3.0,7.0
871486,0.42857142857142855,3.0,7.0
845508,0.42857142857142855,6.0,14.0
924601,0.42857142857142855,3.0,7.0
785266,0.42857142857142855,3.0,7.0
872150,0.42857142857142855,9.0,21.0
922126,0.42857142857142855,3.0,7.0
892287,0.42857142857142855,6.0,14.0
837919,0.42857142857142855,3.0,7.0
923674,0.42857142857142855,18.0,42.0
826224,0.42857142857142855,3.0,7.0
794780,0.42857142857142855,3.0,7.0
785518,0.42857142857142855,3.0,7.0
843502,0.42857142857142855,3.0,7.0
897259,0.42857142857142855,3.0,7.0
927624,0.42857142857142855,6.0,14.0
824593,0.42857142857142855,3.0,7.0
787841,0.42857142857142855,6.0,14.0
887667,0.42857142857142855,3.0,7.0
784062,0.42857142857142855,6.0,14.0
923398,0.42857142857142855,3.0,7.0
838712,0.42857142857142855,3.0,7.0
898504,0.42857142857142855,3.0,7.0
788417,0.42857142857142855,3.0,7.0
872391,0.42857142857142855,3.0,7.0
924596,0.42857142857142855,3.0,7.0
832627,0.42857142857142855,3.0,7.0
784803,0.42857142857142855,3.0,7.0
768263,0.42857142857142855,3.0,7.0
885950,0.42857142857142855,3.0,7.0
834306,0.42857142857142855,3.0,7.0
830750,0.42857142857142855,3.0,7.0
898073,0.42857142857142855,3.0,7.0
827419,0.42857142857142855,3.0,7.0
894536,0.42857142857142855,3.0,7.0
838147,0.42857142857142855,3.0,7.0
898364,0.42857142857142855,3.0,7.0
879578,0.42857142857142855,3.0,7.0
928020,0.42857142857142855,3.0,7.0
830399,0.42857142857142855,3.0,7.0
848328,0.42857142857142855,3.0,7.0
843703,0.42857142857142855,3.0,7.0
835769,0.42857142857142855,6.0,14.0
879526,0.42857142857142855,3.0,7.0
